flight_id,airline,flight_type,planned_departure,real_departure,planned_arrival,real_arrival,origin_airport,origin_city,origin_state,origin_country,destination_airport,destination_city,destination_state,destination_country,price
AR000005,AEROLINEAS ARGENTINAS,National,2023-12-26T21:30:00Z,2023-12-26T21:30:00Z,2023-12-26T23:30:00Z,2023-12-26T23:30:00Z,Parana,Parana,E,Argentina,El Palomar,Buenos Aires,B,Argentina,02599498+
AR000006,AEROLINEAS ARGENTINAS,National,2023-12-28T23:40:00Z,2023-12-28T23:40:00Z,2023-12-29T01:40:00Z,2023-12-29T01:40:00Z,San Luis,San Luis,D,Argentina,Cordoba,Cordoba,X,Argentina,02609659+
AR000007,AEROLINEAS ARGENTINAS,National,2023-12-07T10:55:00Z,2023-12-07T10:55:00Z,2023-12-07T12:55:00Z,2023-12-07T12:55:00Z,Posadas,Posadas,N,Argentina,Cordoba,Cordoba,X,Argentina,03487836+
AR000008,AEROLINEAS ARGENTINAS,National,2023-12-11T19:00:00Z,2023-12-11T19:00:00Z,2023-12-11T21:00:00Z,2023-12-11T21:00:00Z,Santiago del Estero,Santiago del Estero,G,Argentina,Catamarca,San Fernando del Valle de Catamarca,K,Argentina,00405316+
AR000009,AEROLINEAS ARGENTINAS,National,2023-12-27T17:45:00Z,2023-12-27T17:45:00Z,2023-12-27T19:45:00Z,2023-12-27T19:45:00Z,Puerto Madryn,Puerto Madryn,U,Argentina,Resistencia,Resistencia,H,Argentina,03170345+
AR000010,AEROLINEAS ARGENTINAS,National,2023-12-17T06:00:00Z,2023-12-17T06:00:00Z,2023-12-17T08:00:00Z,2023-12-17T08:00:00Z,Puerto Madryn,Puerto Madryn,U,Argentina,San Fernando,San Fernando,B,Argentina,04423737+
AR000011,AEROLINEAS ARGENTINAS,National,2024-01-02T09:15:00Z,2024-01-02T09:15:00Z,2024-01-02T11:15:00Z,2024-01-02T11:15:00Z,Rio Gallegos,Rio Gallegos,Z,Argentina,Iguazu,Puerto Iguazu,N,Argentina,03464562+
AR000012,AEROLINEAS ARGENTINAS,National,2023-12-27T06:30:00Z,2023-12-27T06:30:00Z,2023-12-27T08:30:00Z,2023-12-27T08:30:00Z,Rio Gallegos,Rio Gallegos,Z,Argentina,Iguazu,Puerto Iguazu,N,Argentina,03684736+
AR000013,AEROLINEAS ARGENTINAS,National,2023-12-08T18:40:00Z,2023-12-08T18:40:00Z,2023-12-08T20:40:00Z,2023-12-08T20:40:00Z,Cordoba,Cordoba,X,Argentina,San Fernando,San Fernando,B,Argentina,03954956+
AR000014,AEROLINEAS ARGENTINAS,National,2023-12-18T17:45:00Z,2023-12-18T17:45:00Z,2023-12-18T19:45:00Z,2023-12-18T19:45:00Z,Bariloche,San Carlos de Bariloche,R,Argentina,Catamarca,San Fernando del Valle de Catamarca,K,Argentina,02518861+
AR000015,AEROLINEAS ARGENTINAS,National,2023-12-08T04:50:00Z,2023-12-08T04:50:00Z,2023-12-08T06:50:00Z,2023-12-08T06:50:00Z,Formosa,Formosa,P,Argentina,Cordoba,Cordoba,X,Argentina,03782717+
AR000016,AEROLINEAS ARGENTINAS,National,2023-12-15T02:15:00Z,2023-12-15T02:15:00Z,2023-12-15T04:15:00Z,2023-12-15T04:15:00Z,Esquel,Esquel,U,Argentina,Cordoba,Cordoba,X,Argentina,04319407+
AR000017,AEROLINEAS ARGENTINAS,National,2024-01-02T01:00:00Z,2024-01-02T01:00:00Z,2024-01-02T03:00:00Z,2024-01-02T03:00:00Z,Salta,Salta,A,Argentina,Santa Rosa,Santa Rosa,L,Argentina,04401667+
AR000018,AEROLINEAS ARGENTINAS,National,2023-12-14T01:15:00Z,2023-12-14T01:15:00Z,2023-12-14T03:15:00Z,2023-12-14T03:15:00Z,Formosa,Formosa,P,Argentina,Salta,Salta,A,Argentina,00255234+
AR000019,AEROLINEAS ARGENTINAS,National,2023-12-19T18:55:00Z,2023-12-19T18:55:00Z,2023-12-19T20:55:00Z,2023-12-19T20:55:00Z,Jujuy,San Salvador de Jujuy,Y,Argentina,Rio Hondo,Termas de Rio Hondo,G,Argentina,04484425+
AR000020,AEROLINEAS ARGENTINAS,National,2023-12-06T08:30:00Z,2023-12-06T08:30:00Z,2023-12-06T10:30:00Z,2023-12-06T10:30:00Z,Santa Rosa,Santa Rosa,L,Argentina,San Luis,San Luis,D,Argentina,02665769+
AR000021,AEROLINEAS ARGENTINAS,National,2023-12-06T08:20:00Z,2023-12-06T08:20:00Z,2023-12-06T10:20:00Z,2023-12-06T10:20:00Z,Parana,Parana,E,Argentina,Posadas,Posadas,N,Argentina,02962194+
AR000022,AEROLINEAS ARGENTINAS,National,2023-12-26T02:20:00Z,2023-12-26T02:20:00Z,2023-12-26T04:20:00Z,2023-12-26T04:20:00Z,Resistencia,Resistencia,H,Argentina,Ezeiza,Buenos Aires,B,Argentina,03043015+
AR000023,AEROLINEAS ARGENTINAS,National,2023-12-07T13:25:00Z,2023-12-07T13:25:00Z,2023-12-07T15:25:00Z,2023-12-07T15:25:00Z,La Rioja,La Rioja,F,Argentina,Rio Grande,Rio Grande,V,Argentina,03116546+
AR000024,AEROLINEAS ARGENTINAS,National,2023-12-27T07:20:00Z,2023-12-27T07:20:00Z,2023-12-27T09:20:00Z,2023-12-27T09:20:00Z,Malargue,Malargue,M,Argentina,Rio Grande,Rio Grande,V,Argentina,04447659+
AR000025,AEROLINEAS ARGENTINAS,National,2023-12-19T08:05:00Z,2023-12-19T08:05:00Z,2023-12-19T10:05:00Z,2023-12-19T10:05:00Z,Jujuy,San Salvador de Jujuy,Y,Argentina,San Juan,San Juan,J,Argentina,00411765+
AR000026,AEROLINEAS ARGENTINAS,National,2023-12-11T22:30:00Z,2023-12-11T22:30:00Z,2023-12-12T00:30:00Z,2023-12-12T00:30:00Z,Iguazu,Puerto Iguazu,N,Argentina,Parana,Parana,E,Argentina,04441908+
AR000027,AEROLINEAS ARGENTINAS,National,2023-12-28T14:00:00Z,2023-12-28T14:00:00Z,2023-12-28T16:00:00Z,2023-12-28T16:00:00Z,Posadas,Posadas,N,Argentina,Cordoba,Cordoba,X,Argentina,03821209+
AR000028,AEROLINEAS ARGENTINAS,National,2023-12-10T01:10:00Z,2023-12-10T01:10:00Z,2023-12-10T03:10:00Z,2023-12-10T03:10:00Z,Viedma,Viedma,R,Argentina,Rio Gallegos,Rio Gallegos,Z,Argentina,03675629+
