flight_id,airline,flight_type,planned_departure,real_departure,planned_arrival,real_arrival,origin_airport,origin_city,origin_state,origin_country,destination_airport,destination_city,destination_state,destination_country,price
FO000005,FLYBONDI,National,2023-12-26T09:40:00Z,2023-12-26T09:40:00Z,2023-12-26T11:40:00Z,2023-12-26T11:40:00Z,Iguazu,Puerto Iguazu,N,Argentina,Rio Gallegos,Rio Gallegos,Z,Argentina,02512063+
FO000006,FLYBONDI,National,2024-01-01T11:35:00Z,2024-01-01T11:35:00Z,2024-01-01T13:35:00Z,2024-01-01T13:35:00Z,San Rafael,San Rafael,M,Argentina,Malargue,Malargue,M,Argentina,04325364+
FO000007,FLYBONDI,National,2023-12-14T08:20:00Z,2023-12-14T08:20:00Z,2023-12-14T10:20:00Z,2023-12-14T10:20:00Z,Rio Hondo,Termas de Rio Hondo,G,Argentina,General Pico,General Pico,L,Argentina,03159445+
FO000008,FLYBONDI,National,2023-12-18T03:55:00Z,2023-12-18T03:55:00Z,2023-12-18T05:55:00Z,2023-12-18T05:55:00Z,Santiago del Estero,Santiago del Estero,G,Argentina,Bariloche,San Carlos de Bariloche,R,Argentina,00358805+
FO000009,FLYBONDI,National,2023-12-21T19:35:00Z,2023-12-21T19:35:00Z,2023-12-21T21:35:00Z,2023-12-21T21:35:00Z,La Rioja,La Rioja,F,Argentina,Rio Hondo,Termas de Rio Hondo,G,Argentina,03263468+
FO000010,FLYBONDI,National,2023-12-19T19:35:00Z,2023-12-19T19:35:00Z,2023-12-19T21:35:00Z,2023-12-19T21:35:00Z,Aeroparque,Ciudad de Buenos Aires,C,Argentina,Salta,Salta,A,Argentina,04372474+
FO000011,FLYBONDI,National,2024-01-03T12:40:00Z,2024-01-03T12:40:00Z,2024-01-03T14:40:00Z,2024-01-03T14:40:00Z,Villa Mercedes,Villa Mercedes,D,Argentina,Parana,Parana,E,Argentina,02834254+
FO000012,FLYBONDI,National,2023-12-17T01:15:00Z,2023-12-17T01:15:00Z,2023-12-17T03:15:00Z,2023-12-17T03:15:00Z,Mar del Plata,Mar del Plata,B,Argentina,La Rioja,La Rioja,F,Argentina,03394424+
FO000013,FLYBONDI,National,2023-12-06T21:30:00Z,2023-12-06T21:30:00Z,2023-12-06T23:30:00Z,2023-12-06T23:30:00Z,La Rioja,La Rioja,F,Argentina,Tucuman,San Miguel de Tucuman,T,Argentina,04286629+
FO000014,FLYBONDI,National,2023-12-06T11:20:00Z,2023-12-06T11:20:00Z,2023-12-06T13:20:00Z,2023-12-06T13:20:00Z,Iguazu,Puerto Iguazu,N,Argentina,San Rafael,San Rafael,M,Argentina,00439656+
FO000015,FLYBONDI,National,2023-12-05T19:55:00Z,2023-12-05T19:55:00Z,2023-12-05T21:55:00Z,2023-12-05T21:55:00Z,El Palomar,Buenos Aires,B,Argentina,San Luis,San Luis,D,Argentina,02905866+
FO000016,FLYBONDI,National,2023-12-14T14:35:00Z,2023-12-14T14:35:00Z,2023-12-14T16:35:00Z,2023-12-14T16:35:00Z,San Luis,San Luis,D,Argentina,Rio Hondo,Termas de Rio Hondo,G,Argentina,02844771+
FO000017,FLYBONDI,National,2023-12-11T05:15:00Z,2023-12-11T05:15:00Z,2023-12-11T07:15:00Z,2023-12-11T07:15:00Z,Bariloche,San Carlos de Bariloche,R,Argentina,San Juan,San Juan,J,Argentina,04102597+
FO000018,FLYBONDI,National,2024-01-03T17:15:00Z,2024-01-03T17:15:00Z,2024-01-03T19:15:00Z,2024-01-03T19:15:00Z,El Palomar,Buenos Aires,B,Argentina,Rio Grande,Rio Grande,V,Argentina,00333211+
FO000019,FLYBONDI,National,2023-12-11T00:25:00Z,2023-12-11T00:25:00Z,2023-12-11T02:25:00Z,2023-12-11T02:25:00Z,Santa Rosa,Santa Rosa,L,Argentina,Posadas,Posadas,N,Argentina,03585595+
FO000020,FLYBONDI,National,2023-12-15T11:40:00Z,2023-12-15T11:40:00Z,2023-12-15T13:40:00Z,2023-12-15T13:40:00Z,Catamarca,San Fernando del Valle de Catamarca,K,Argentina,Jujuy,San Salvador de Jujuy,Y,Argentina,03735275+
FO000021,FLYBONDI,National,2023-12-23T17:15:00Z,2023-12-23T17:15:00Z,2023-12-23T19:15:00Z,2023-12-23T19:15:00Z,Malargue,Malargue,M,Argentina,San Juan,San Juan,J,Argentina,04467674+
FO000022,FLYBONDI,National,2024-01-03T05:10:00Z,2024-01-03T05:10:00Z,2024-01-03T07:10:00Z,2024-01-03T07:10:00Z,Parana,Parana,E,Argentina,Malargue,Malargue,M,Argentina,02793343+
FO000023,FLYBONDI,National,2023-12-18T22:05:00Z,2023-12-18T22:05:00Z,2023-12-19T00:05:00Z,2023-12-19T00:05:00Z,Mendoza,Mendoza,M,Argentina,Esquel,Esquel,U,Argentina,03038831+
FO000024,FLYBONDI,National,2024-01-01T14:40:00Z,2024-01-01T14:40:00Z,2024-01-01T16:40:00Z,2024-01-01T16:40:00Z,Puerto Madryn,Puerto Madryn,U,Argentina,San Juan,San Juan,J,Argentina,04079719+
FO000025,FLYBONDI,National,2023-12-17T09:40:00Z,2023-12-17T09:40:00Z,2023-12-17T11:40:00Z,2023-12-17T11:40:00Z,Parana,Parana,E,Argentina,El Palomar,Buenos Aires,B,Argentina,03826762+
FO000026,FLYBONDI,National,2023-12-23T03:35:00Z,2023-12-23T03:35:00Z,2023-12-23T05:35:00Z,2023-12-23T05:35:00Z,General Pico,General Pico,L,Argentina,Rio Hondo,Termas de Rio Hondo,G,Argentina,04257484+
