flight_id,airline,flight_type,planned_departure,real_departure,planned_arrival,real_arrival,origin_airport,origin_city,origin_state,origin_country,destination_airport,destination_city,destination_state,destination_country,price
JA000005,JETSMART,National,2023-12-08T20:50:00Z,2023-12-08T20:50:00Z,2023-12-08T22:50:00Z,2023-12-08T22:50:00Z,Santa Rosa,Santa Rosa,L,Argentina,Esquel,Esquel,U,Argentina,02556966+
JA000006,JETSMART,National,2023-12-27T13:55:00Z,2023-12-27T13:55:00Z,2023-12-27T15:55:00Z,2023-12-27T15:55:00Z,San Juan,San Juan,J,Argentina,Malargue,Malargue,M,Argentina,04018399+
JA000007,JETSMART,National,2023-12-22T17:00:00Z,2023-12-22T17:00:00Z,2023-12-22T19:00:00Z,2023-12-22T19:00:00Z,Formosa,Formosa,P,Argentina,Santa Rosa,Santa Rosa,L,Argentina,04118462+
JA000008,JETSMART,National,2023-12-21T00:50:00Z,2023-12-21T00:50:00Z,2023-12-21T02:50:00Z,2023-12-21T02:50:00Z,La Rioja,La Rioja,F,Argentina,Jujuy,San Salvador de Jujuy,Y,Argentina,02859765+
JA000009,JETSMART,National,2023-12-24T13:00:00Z,2023-12-24T13:00:00Z,2023-12-24T15:00:00Z,2023-12-24T15:00:00Z,San Luis,San Luis,D,Argentina,Rio Cuarto,Rio Cuarto,X,Argentina,03269369+
JA000010,JETSMART,National,2023-12-17T17:35:00Z,2023-12-17T17:35:00Z,2023-12-17T19:35:00Z,2023-12-17T19:35:00Z,Jujuy,San Salvador de Jujuy,Y,Argentina,Tucuman,San Miguel de Tucuman,T,Argentina,03024767+
JA000011,JETSMART,National,2024-01-02T00:05:00Z,2024-01-02T00:05:00Z,2024-01-02T02:05:00Z,2024-01-02T02:05:00Z,Santiago del Estero,Santiago del Estero,G,Argentina,Mendoza,Mendoza,M,Argentina,03071001+
JA000012,JETSMART,National,2023-12-20T15:45:00Z,2023-12-20T15:45:00Z,2023-12-20T17:45:00Z,2023-12-20T17:45:00Z,Aeroparque,Ciudad de Buenos Aires,C,Argentina,Reconquista,Reconquista,S,Argentina,03542529+
JA000013,JETSMART,National,2023-12-24T11:40:00Z,2023-12-24T11:40:00Z,2023-12-24T13:40:00Z,2023-12-24T13:40:00Z,General Pico,General Pico,L,Argentina,Rio Hondo,Termas de Rio Hondo,G,Argentina,04334748+
JA000014,JETSMART,National,2023-12-29T10:25:00Z,2023-12-29T10:25:00Z,2023-12-29T12:25:00Z,2023-12-29T12:25:00Z,Ezeiza,Buenos Aires,B,Argentina,San Luis,San Luis,D,Argentina,03525868+
JA000015,JETSMART,National,2023-12-21T02:55:00Z,2023-12-21T02:55:00Z,2023-12-21T04:55:00Z,2023-12-21T04:55:00Z,Viedma,Viedma,R,Argentina,Mar del Plata,Mar del Plata,B,Argentina,03873197+
JA000016,JETSMART,National,2023-12-09T14:50:00Z,2023-12-09T14:50:00Z,2023-12-09T16:50:00Z,2023-12-09T16:50:00Z,Rio Cuarto,Rio Cuarto,X,Argentina,Rio Hondo,Termas de Rio Hondo,G,Argentina,03649446+
JA000017,JETSMART,National,2023-12-16T18:45:00Z,2023-12-16T18:45:00Z,2023-12-16T20:45:00Z,2023-12-16T20:45:00Z,Comodoro Rivadavia,Comodoro Rivadavia,U,Argentina,Rio Hondo,Termas de Rio Hondo,G,Argentina,03169404+
JA000018,JETSMART,National,2023-12-24T21:55:00Z,2023-12-24T21:55:00Z,2023-12-24T23:55:00Z,2023-12-24T23:55:00Z,Esquel,Esquel,U,Argentina,Posadas,Posadas,N,Argentina,03333239+
