flight_id,airline,flight_type,planned_departure,real_departure,planned_arrival,real_arrival,origin_airport,origin_city,origin_state,origin_country,destination_airport,destination_city,destination_state,destination_country,price
LA000005,LATAM AIRLINES,National,2023-12-11T01:20:00Z,2023-12-11T01:20:00Z,2023-12-11T03:20:00Z,2023-12-11T03:20:00Z,Esquel,Esquel,U,Argentina,Santiago del Estero,Santiago del Estero,G,Argentina,03240128+
LA000006,LATAM AIRLINES,National,2023-12-15T17:10:00Z,2023-12-15T17:10:00Z,2023-12-15T19:10:00Z,2023-12-15T19:10:00Z,Salta,Salta,A,Argentina,Ezeiza,Buenos Aires,B,Argentina,04263521+
LA000007,LATAM AIRLINES,National,2024-01-03T03:20:00Z,2024-01-03T03:20:00Z,2024-01-03T05:20:00Z,2024-01-03T05:20:00Z,Salta,Salta,A,Argentina,San Luis,San Luis,D,Argentina,00336929+
LA000008,LATAM AIRLINES,National,2023-12-14T08:15:00Z,2023-12-14T08:15:00Z,2023-12-14T10:15:00Z,2023-12-14T10:15:00Z,Rio Gallegos,Rio Gallegos,Z,Argentina,Resistencia,Resistencia,H,Argentina,04190229+
LA000009,LATAM AIRLINES,National,2023-12-04T19:20:00Z,2023-12-04T19:20:00Z,2023-12-04T21:20:00Z,2023-12-04T21:20:00Z,Malargue,Malargue,M,Argentina,Mar del Plata,Mar del Plata,B,Argentina,03165109+
LA000010,LATAM AIRLINES,National,2024-01-03T13:30:00Z,2024-01-03T13:30:00Z,2024-01-03T15:30:00Z,2024-01-03T15:30:00Z,San Rafael,San Rafael,M,Argentina,Reconquista,Reconquista,S,Argentina,03953028+
LA000011,LATAM AIRLINES,National,2023-12-28T20:10:00Z,2023-12-28T20:10:00Z,2023-12-28T22:10:00Z,2023-12-28T22:10:00Z,Ezeiza,Buenos Aires,B,Argentina,Formosa,Formosa,P,Argentina,03012992+
LA000012,LATAM AIRLINES,National,2023-12-08T20:10:00Z,2023-12-08T20:10:00Z,2023-12-08T22:10:00Z,2023-12-08T22:10:00Z,San Rafael,San Rafael,M,Argentina,Malargue,Malargue,M,Argentina,03171893+
LA000013,LATAM AIRLINES,National,2023-12-10T20:00:00Z,2023-12-10T20:00:00Z,2023-12-10T22:00:00Z,2023-12-10T22:00:00Z,Esquel,Esquel,U,Argentina,Mendoza,Mendoza,M,Argentina,04028022+
LA000014,LATAM AIRLINES,National,2024-01-03T23:35:00Z,2024-01-03T23:35:00Z,2024-01-04T01:35:00Z,2024-01-04T01:35:00Z,Posadas,Posadas,N,Argentina,Villa Mercedes,Villa Mercedes,D,Argentina,03090153+
LA000015,LATAM AIRLINES,National,2023-12-20T16:35:00Z,2023-12-20T16:35:00Z,2023-12-20T18:35:00Z,2023-12-20T18:35:00Z,San Fernando,San Fernando,B,Argentina,Esquel,Esquel,U,Argentina,03015552+
LA000016,LATAM AIRLINES,National,2023-12-12T13:50:00Z,2023-12-12T13:50:00Z,2023-12-12T15:50:00Z,2023-12-12T15:50:00Z,San Juan,San Juan,J,Argentina,Cordoba,Cordoba,X,Argentina,03917949+
LA000017,LATAM AIRLINES,National,2023-12-09T11:15:00Z,2023-12-09T11:15:00Z,2023-12-09T13:15:00Z,2023-12-09T13:15:00Z,Mar del Plata,Mar del Plata,B,Argentina,Villa Mercedes,Villa Mercedes,D,Argentina,03176866+
LA000018,LATAM AIRLINES,National,2023-12-28T23:20:00Z,2023-12-28T23:20:00Z,2023-12-29T01:20:00Z,2023-12-29T01:20:00Z,Viedma,Viedma,R,Argentina,Rio Hondo,Termas de Rio Hondo,G,Argentina,04188945+
LA000019,LATAM AIRLINES,National,2023-12-04T17:55:00Z,2023-12-04T17:55:00Z,2023-12-04T19:55:00Z,2023-12-04T19:55:00Z,Mendoza,Mendoza,M,Argentina,Posadas,Posadas,N,Argentina,02750406+
LA000020,LATAM AIRLINES,National,2023-12-06T13:30:00Z,2023-12-06T13:30:00Z,2023-12-06T15:30:00Z,2023-12-06T15:30:00Z,Puerto Madryn,Puerto Madryn,U,Argentina,El Palomar,Buenos Aires,B,Argentina,02657409+
LA000021,LATAM AIRLINES,National,2023-12-05T08:05:00Z,2023-12-05T08:05:00Z,2023-12-05T10:05:00Z,2023-12-05T10:05:00Z,Rio Grande,Rio Grande,V,Argentina,Resistencia,Resistencia,H,Argentina,02505762+
LA000022,LATAM AIRLINES,National,2023-12-22T06:35:00Z,2023-12-22T06:35:00Z,2023-12-22T08:35:00Z,2023-12-22T08:35:00Z,Aeroparque,Ciudad de Buenos Aires,C,Argentina,La Rioja,La Rioja,F,Argentina,02952718+
LA000023,LATAM AIRLINES,National,2023-12-27T08:20:00Z,2023-12-27T08:20:00Z,2023-12-27T10:20:00Z,2023-12-27T10:20:00Z,Mendoza,Mendoza,M,Argentina,El Palomar,Buenos Aires,B,Argentina,03638877+
LA000024,LATAM AIRLINES,National,2023-12-29T03:15:00Z,2023-12-29T03:15:00Z,2023-12-29T05:15:00Z,2023-12-29T05:15:00Z,Ezeiza,Buenos Aires,B,Argentina,Salta,Salta,A,Argentina,03597209+
LA000025,LATAM AIRLINES,National,2023-12-13T22:40:00Z,2023-12-13T22:40:00Z,2023-12-14T00:40:00Z,2023-12-14T00:40:00Z,Santa Rosa,Santa Rosa,L,Argentina,San Luis,San Luis,D,Argentina,00434641+
LA000026,LATAM AIRLINES,National,2023-12-25T08:15:00Z,2023-12-25T08:15:00Z,2023-12-25T10:15:00Z,2023-12-25T10:15:00Z,Puerto Madryn,Puerto Madryn,U,Argentina,Esquel,Esquel,U,Argentina,04231167+
LA000027,LATAM AIRLINES,National,2023-12-27T12:05:00Z,2023-12-27T12:05:00Z,2023-12-27T14:05:00Z,2023-12-27T14:05:00Z,Santiago del Estero,Santiago del Estero,G,Argentina,Ezeiza,Buenos Aires,B,Argentina,03384118+
LA000028,LATAM AIRLINES,National,2023-12-14T00:00:00Z,2023-12-14T00:00:00Z,2023-12-14T02:00:00Z,2023-12-14T02:00:00Z,General Pico,General Pico,L,Argentina,Bariloche,San Carlos de Bariloche,R,Argentina,04395799+
LA000029,LATAM AIRLINES,National,2023-12-16T10:50:00Z,2023-12-16T10:50:00Z,2023-12-16T12:50:00Z,2023-12-16T12:50:00Z,San Juan,San Juan,J,Argentina,Jujuy,San Salvador de Jujuy,Y,Argentina,04449502+
LA000030,LATAM AIRLINES,National,2023-12-09T16:05:00Z,2023-12-09T16:05:00Z,2023-12-09T18:05:00Z,2023-12-09T18:05:00Z,San Fernando,San Fernando,B,Argentina,Rio Cuarto,Rio Cuarto,X,Argentina,02789033+
LA000031,LATAM AIRLINES,National,2024-01-01T17:30:00Z,2024-01-01T17:30:00Z,2024-01-01T19:30:00Z,2024-01-01T19:30:00Z,Iguazu,Puerto Iguazu,N,Argentina,Posadas,Posadas,N,Argentina,03590745+
LA000032,LATAM AIRLINES,National,2024-01-03T15:00:00Z,2024-01-03T15:00:00Z,2024-01-03T17:00:00Z,2024-01-03T17:00:00Z,Rio Hondo,Termas de Rio Hondo,G,Argentina,General Pico,General Pico,L,Argentina,03523022+
LA000033,LATAM AIRLINES,National,2023-12-14T13:55:00Z,2023-12-14T13:55:00Z,2023-12-14T15:55:00Z,2023-12-14T15:55:00Z,Posadas,Posadas,N,Argentina,Viedma,Viedma,R,Argentina,03307601+
LA000034,LATAM AIRLINES,National,2023-12-28T10:55:00Z,2023-12-28T10:55:00Z,2023-12-28T12:55:00Z,2023-12-28T12:55:00Z,Puerto Madryn,Puerto Madryn,U,Argentina,Iguazu,Puerto Iguazu,N,Argentina,03583298+
LA000035,LATAM AIRLINES,National,2023-12-20T06:25:00Z,2023-12-20T06:25:00Z,2023-12-20T08:25:00Z,2023-12-20T08:25:00Z,Iguazu,Puerto Iguazu,N,Argentina,El Palomar,Buenos Aires,B,Argentina,04090268+
LA000036,LATAM AIRLINES,National,2023-12-29T02:15:00Z,2023-12-29T02:15:00Z,2023-12-29T04:15:00Z,2023-12-29T04:15:00Z,Santa Rosa,Santa Rosa,L,Argentina,Esquel,Esquel,U,Argentina,02513376+
LA000037,LATAM AIRLINES,National,2023-12-16T16:10:00Z,2023-12-16T16:10:00Z,2023-12-16T18:10:00Z,2023-12-16T18:10:00Z,Iguazu,Puerto Iguazu,N,Argentina,El Palomar,Buenos Aires,B,Argentina,02807325+
LA000038,LATAM AIRLINES,National,2024-01-03T09:15:00Z,2024-01-03T09:15:00Z,2024-01-03T11:15:00Z,2024-01-03T11:15:00Z,Reconquista,Reconquista,S,Argentina,Aeroparque,Ciudad de Buenos Aires,C,Argentina,03997751+
LA000039,LATAM AIRLINES,National,2024-01-01T09:20:00Z,2024-01-01T09:20:00Z,2024-01-01T11:20:00Z,2024-01-01T11:20:00Z,Rio Hondo,Termas de Rio Hondo,G,Argentina,Rio Grande,Rio Grande,V,Argentina,00351753+
LA000040,LATAM AIRLINES,National,2023-12-18T03:25:00Z,2023-12-18T03:25:00Z,2023-12-18T05:25:00Z,2023-12-18T05:25:00Z,San Juan,San Juan,J,Argentina,Reconquista,Reconquista,S,Argentina,03673163+
